Horse ID,Breed,Gender,Age,Height,Color,Location,Euro Price,$ Price,Discipline,Further Characteristics
14517,Holstein,Gelding,7 years,N/A,N/A,Wächtersbach,"27,000","$28,756.00 ",Jumping ,
14518,Oldenburg,Gelding,11 years,"16,2 hh",Brown,Schwechatbach,"35,000","$37,276.00 ",Dressage - Working Equitation - Leisure - Driving,
14519,Oldenburg,Gelding,5 years,"16,2 hh",Black,"Wien, Leopoldstadt","25,000","$26,626.00 ",Dressage - Working Equitation - Leisure - Driving,
14520,Hanoverian,Gelding,6 years,"16,1 hh",Brown,Alfstedt,"22,500","$23,963.00 ",Dressage - Jumping,"is easy to load, vet-check, Directly from the breeder"
14521,Hanoverian,Gelding,10 years,17 hh,Black,"Wien, Leopoldstadt","28,000","$29,821.00 ",Dressage - Jumping - Leisure,
14522,German Riding Pony,Gelding,7 years,"14,3 hh",Chestnut-Red,Schwechatbach,"35,000","$37,276.00 ",Dressage - Leisure - Driving,
14523,Hanoverian,Mare,15 years,"16,1 hh",Brown,Twistringen,"5,500","$5,858.00 ",Breeding - Leisure ,
14524,German Riding Pony,Mare,7 years,"14,1 hh",Brown,Twistringen,"8,000","$8,520.00 ",Breeding - Eventing - Jumping - Dressage ,
14525,Oldenburg,Mare,22 years,"16,2 hh",Brown,Twistringen,"4,000","$4,260.00 ",Breeding - Dressage ,
14526,Oldenburg,Mare,13 years,"16,1 hh",Chestnut,TwistringenTwistringen,"7,500","$7,988.00 ",Breeding - Leisure - Dressage ,
14527,Shire Horse,Mare,6 years,17 hh,Gray,Bad Füssing,"15,000","$15,975.00 ",Breeding ,
14528,Other Warmbloods,Mare,2 years,"16,3 hh",Pinto,Borgentreich,N/A,N/A,Jumping - Eventing - Leisure - Dressage ,
14529,Lusitano,Stallion,3 years,"15,2 hh",Chestnut-Red,Ribamar,"24,000","$25,561.00 ",Working Equitation - Equitation Portugesa - Leisure - Dressage ,
14530,Menorquin,Mare,1 year,"15,1 hh",Black,Menorca,"5,000","$5,325.00 ",Leisure - Working Equitation - Baroque - Western ,
14531,Westphalian,Stallion,4 years,"16,1 hh",Brown,Borgentreich,N/A,N/A,Jumping - Eventing - Leisure - Dressage ,
14532,American Quarter Horse,Gelding,7 years,N/A,N/A,Niedersayn,N/A,N/A,Western - Reining ,
14533,German Riding Horse,Mare,6 years,16 hh,Black,Nottuln,"2,500","$2,663.00 ",Leisure - Breeding ,
14534,Zangersheider,Stallion,11 years,"16,1 hh",Black,Canterbury,N/A,"$26,936.00 ",Jumping ,
14535,Irish Sport Horse,Mare,4 years,"16,1 hh",Brown,Lage,"3,500","$3,728.00 ",Dressage - Breeding - Jumping ,
14536,Oldenburg-International (OS),Gelding,6 years,"16,1 hh",Gray,Rhede,N/A,N/A,Jumping ,
14537,Hanoverian,Mare,8 years,16 hh,Gray,Neuruppin,"12,000","$12,780.00 ",Leisure - Breeding - Jumping ,
14538,KWPN,Mare,5 years,17 hh,Bay-Dark,Lengdorf,N/A,N/A,Jumping ,
14539,Rhinelander,Gelding,5 years,"17,1 hh",Brown,Willich,"19,500","$20,768.00 ",Dressage ,
14540,Fjord Horses,Mare,1 year,N/A,N/A,Dorsten,"2,500","$2,663.00 ",Leisure ,
14541,KWPN,Mare,12 years,"16,3 hh",Bay-Dark,dinteloord,"15,000","$15,975.00 ",Breeding - Jumping ,
14542,Tennessee walking horse,Gelding,11 years,14 hh,Black,"LONDON,KY",N/A,"$5,000.00 ",Gaited - Trail - Driving ,
14543,Hanoverian,Mare,1 year,N/A,N/A,Nuthe-Urstromtal,"8,000","$8,520.00 ",Dressage - Breeding - Hunter - Leisure ,
14544,Hanoverian,Stallion,1 year,N/A,N/A,Calau,"4,900","$5,219.00 ",Dressage - Hunter - Leisure - Driving ,
14545,American Quarter Horse,Mare,2 years,15 hh,Dunalino,Bergkamen,"11,500","$12,248.00 ",Western - Western allround - Reining - Breeding ,
14546,PRE,Mare,13 years,16 hh,Gray-Dapple,Sant Tomas De Fluvia,"7,000","$7,455.00 ",Dressage,
